PROJECT_NAME,RESOURCE_NAME,SERVICE
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00156-smw,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00155-w4q,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00154-v2f,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00153-kwv,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00152-m64,run.googleapis.com/Revision
sb-prototipos-xops,plataforma-ailab-chat-agendamiendo-node-00151-tfc,run.googleapis.com/Revision
sb-prototipos-xops,networkanalyzer_googleapis_com_analyzer_reports_20260212,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00054-27m,run.googleapis.com/Revision
sb-prototipos-xops,run_googleapis_com__var_log_datadog_dogstatsd_info_dogstatsd_stats_log_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,apigateway_googleapis_com_requests_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,sd_indemnizaciones_api_dev_1lfyvz9a1kxkv_apigateway_sb_prototipos_xops_cloud_goog_endpoints_log_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudbuild_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,requests_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudsql_googleapis_com_postgres_log_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,plataforma-ailab-deteccion-anomalias-pyg-stage-00053-pjj,run.googleapis.com/Revision
sb-prototipos-xops,cloudaudit_googleapis_com_system_event_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,bigquerydatatransfer_googleapis_com_transfer_config_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_activity_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stderr_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudscheduler_googleapis_com_executions_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_stdout_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,cloudaudit_googleapis_com_data_access_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_varlog_system_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,run_googleapis_com_requests_20260213,bigquery.googleapis.com/Table
sb-prototipos-xops,ms-bancaseguros-multiagente-pymes-mas-digital-dev-00144-ljg,run.googleapis.com/Revision
sb-prototipos-xops,ailab-voz-intermediarios-ivr-00013-wxd,run.googleapis.com/Revision
sb-prototipos-xops,ailab-voz-intermediarios-ivr-stage-00002-nph,run.googleapis.com/Revision
sb-prototipos-xops,ms-bancaseguros-multiagente-pymes-mas-digital-dev-00143-s76,run.googleapis.com/Revision
